,No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
853,4641,11,D,Quercus alba,0.05,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,15.0,22.73,3.25,15.73,19.18,7,24.5,0.0,1,Dead
854,4643,11,D,Quercus rubra,0.05,Low,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/24/18,9.0,27.27,2.28,25.61,11.39,7,24.5,0.0,1,Dead
855,2414,6,B,Quercus alba,0.092,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,13.6,22.45,4.64,17.6,23.87,33,115.5,0.0,0,Alive
856,4647,11,B,Quercus alba,0.055,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,22.0,83.33,3.3,21.05,17.46,7,24.5,0.0,1,Dead
857,4651,11,B,Acer saccharum,0.055,Low,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,21.43,63.54,-0.56,9.92,10.04,7,24.5,1.0,0,Dead
858,2418,6,B,Acer saccharum,0.092,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,6/1/18,15.59,43.75,0.32,13.41,12.29,18,63.0,1.0,0,Dead
859,4657,11,D,Acer saccharum,0.05,Low,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,6/1/18,17.0,23.96,-0.63,8.99,9.6,7,24.5,0.0,1,Dead
860,4664,11,B,Quercus alba,0.055,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,27.0,4.17,4.49,23.93,15.94,7,24.5,0.0,1,Dead
861,4676,11,D,Quercus rubra,0.05,Low,2016,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,15.0,79.17,2.57,25.94,11.55,7,24.5,0.0,1,Dead
862,2430,6,D,Quercus rubra,0.09,Med,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/25/18,15.59,25.77,3.57,25.7,14.68,33,115.5,0.0,0,Alive
863,4683,11,B,Quercus rubra,0.055,Low,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,15.0,28.07,2.6,25.01,11.84,7,24.5,0.0,1,Dead
864,4684,11,B,Prunus serotina,0.055,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,11.36,36.675,0.07,3.86,7.11,7,24.5,0.0,1,Dead
865,4687,11,B,Quercus rubra,0.055,Low,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,10.0,45.28,2.67,27.47,12.36,7,24.5,0.0,1,Dead
866,4694,11,D,Acer saccharum,0.05,Low,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/25/18,1.47,40.21,-0.52,8.84,10.24,7,24.5,0.0,1,Dead
867,4699,11,B,Prunus serotina,0.055,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,22.0,35.14,0.61,6.69,10.15,7,24.5,0.0,1,Dead
868,4712,11,D,Acer saccharum,0.05,Low,2016,Sterile,1330,Sterile,Sterilized,AMF,Sterile,5/25/18,6.16,30.07,-0.48,9.08,9.54,7,24.5,1.0,0,Dead
869,4717,11,B,Quercus alba,0.055,Low,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.0,25.0,3.52,19.0,19.34,7,24.5,0.0,1,Dead
870,2456,6,B,Quercus rubra,0.092,Med,2016,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,8.75,6.7,3.52,24.16,15.82,21,73.5,1.0,0,Dead
871,4720,11,B,Quercus alba,0.055,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,22.0,57.14,4.1,18.95,23.2,7,24.5,0.0,1,Dead
872,4723,11,B,Prunus serotina,0.055,Low,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24.37,50.772,0.58,4.72,7.13,7,24.5,1.0,0,Dead
873,2460,6,D,Acer saccharum,0.09,Med,2017,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/1/18,17.85,44.403999999999996,0.44,13.57,12.42,18,63.0,1.0,0,Dead
874,4746,11,D,Prunus serotina,0.05,Low,2017,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,14.47,38.036,0.13,5.01,7.98,7,24.5,1.0,0,Dead
875,2468,6,B,Acer saccharum,0.092,Med,2017,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.46,31.668,0.19,14.11,12.06,17,59.5,1.0,0,Dead
876,2469,6,B,Quercus alba,0.092,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,18.61,25.3,5.04,18.68,22.25,33,115.5,0.0,0,Alive
877,4748,11,D,Quercus alba,0.05,Low,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,14.0,8.33,4.58,22.16,17.39,7,24.5,0.0,1,Dead
878,2472,6,B,Quercus rubra,0.092,Med,2016,Quercus rubra,1595,Non-Sterile,Conspecific,EMF,EMF,5/25/18,18.78,23.16,3.6,26.16,14.71,33,115.5,0.0,0,Alive
879,4749,11,D,Quercus alba,0.05,Low,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,23.0,24.24,4.72,23.23,16.67,7,24.5,0.0,1,Dead
880,2477,6,D,Prunus serotina,0.09,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,17.37,25.811999999999998,0.32,10.68,13.67,17,59.5,1.0,0,Dead
881,2479,6,D,Acer saccharum,0.09,Med,2016,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.67,27.384,0.16,13.84,12.14,17,59.5,1.0,0,Dead
882,2481,6,D,Acer saccharum,0.09,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.78,28.956,-0.09,13.86,12.23,18,63.0,1.0,0,Dead
883,4751,11,D,Acer saccharum,0.05,Low,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,5/25/18,1.0,30.528,-0.5,11.34,13.15,7,24.5,0.0,1,Dead
884,2487,6,B,Quercus alba,0.092,Med,2016,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,14.4,32.1,4.22,19.34,20.75,33,115.5,0.0,0,Alive
885,4754,12,A,Quercus rubra,0.063,Low,2017,Quercus alba,1715,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,35.0,18.52,2.59,26.84,6.52,7,24.5,0.0,1,Dead
886,4755,12,A,Quercus rubra,0.063,Low,2017,Quercus rubra,1454,Non-Sterile,Conspecific,EMF,EMF,5/24/18,13.0,22.22,2.15,26.3,11.56,7,24.5,0.0,1,Dead
887,2495,6,D,Quercus rubra,0.09,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,22.69,46.32,3.87,26.9,14.88,33,115.5,0.0,0,Alive
888,2496,6,D,Prunus serotina,0.09,Med,2017,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/8/18,22.77,43.51,0.24,10.5,14.23,17,59.5,1.0,0,Dead
889,4767,12,C,Acer saccharum,0.047,Low,2017,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,39.02,40.7,-1.2,8.78,9.56,7,24.5,0.0,1,Dead
890,2499,6,D,Acer saccharum,0.09,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.78,37.89,-0.09,13.86,12.23,18,63.0,1.0,0,Dead
891,2501,6,D,Prunus serotina,0.09,Med,2016,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,17.37,35.08,0.32,10.68,13.67,17,59.5,1.0,0,Dead
892,4769,12,C,Prunus serotina,0.047,Low,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,4.0,32.269999999999996,0.05,5.02,8.09,7,24.5,0.0,1,Dead
893,2506,6,B,Acer saccharum,0.092,Med,2016,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.83,29.46,0.04,14.27,12.7,17,59.5,1.0,0,Dead
894,2509,6,B,Quercus rubra,0.092,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,18.33,26.65,3.69,20.51,18.7,18,63.0,1.0,0,Dead
895,2513,6,D,Quercus rubra,0.09,Med,2016,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,6.67,10.07,3.49,24.56,15.11,33,115.5,0.0,0,Alive
896,2519,6,D,Quercus alba,0.09,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,5.11,5.51,3.34,19.09,20.12,23,80.5,1.0,0,Dead
897,4775,12,A,Quercus alba,0.063,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,6/15/18,15.0,0.0,3.13,24.77,11.41,7,24.5,0.0,1,Dead
898,2527,6,B,Quercus rubra,0.092,Med,2017,Sterile,1688,Sterile,Sterilized,EMF,Sterile,5/23/18,8.75,6.7,3.52,24.16,15.82,33,115.5,0.0,0,Alive
899,4783,12,C,Quercus rubra,0.047,Low,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,2.0,4.35,2.96,22.69,13.91,7,24.5,0.0,1,Dead
900,2533,6,D,Quercus rubra,0.09,Med,2016,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,19.83,32.76,3.35,25.51,14.76,33,115.5,0.0,0,Alive
901,4796,12,A,Quercus rubra,0.063,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,9.0,20.34,2.53,24.67,12.41,7,24.5,0.0,1,Dead
902,2536,6,D,Quercus alba,0.09,Med,2016,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,19.81,28.92,5.05,18.8,22.31,21,73.5,1.0,0,Dead
903,2537,6,D,Quercus alba,0.09,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,20.7,25.38,4.99,19.1,21.97,33,115.5,0.0,0,Alive
904,2538,6,D,Quercus alba,0.09,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,13.88,22.49,4.13,18.7,22.4,33,115.5,0.0,0,Alive
905,4802,12,C,Quercus alba,0.047,Low,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,10.0,20.83,3.98,27.83,14.93,7,24.5,0.0,1,Dead
906,2551,6,D,Prunus serotina,0.09,Med,2016,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,17.37,24.6225,0.32,10.68,13.67,17,59.5,1.0,0,Dead
907,2555,6,D,Acer saccharum,0.09,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,14.78,28.415,-0.09,13.86,12.23,18,63.0,1.0,0,Dead
908,4816,12,C,Acer saccharum,0.047,Low,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,27.32,32.207499999999996,-0.89,9.41,9.74,7,24.5,1.0,0,Dead
909,4822,12,C,Quercus alba,0.047,Low,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,25.0,36.0,4.22,20.91,18.84,7,24.5,0.0,1,Dead
910,2566,6,D,Quercus alba,0.09,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,20.7,25.38,4.99,19.1,21.97,33,115.5,0.0,0,Alive
911,4842,12,C,Quercus alba,0.047,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,26.88,14.29,4.53,18.19,20.8,7,24.5,0.0,1,Dead
912,2575,6,B,Quercus alba,0.092,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,20.55,26.24,4.99,19.03,22.3,33,115.5,0.0,0,Alive
913,4849,12,A,Quercus rubra,0.063,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,12.0,27.78,3.73,19.46,19.55,7,24.5,0.0,1,Dead
914,2583,6,B,Acer saccharum,0.092,Med,2016,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,15.59,21.87666666666667,0.32,13.41,12.29,18,63.0,1.0,0,Dead
915,4851,12,A,Acer saccharum,0.063,Low,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.23,15.973333333333334,-0.03,11.08,11.16,7,24.5,1.0,0,Dead
916,2590,6,D,Quercus rubra,0.09,Med,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,6.67,10.07,3.49,24.56,15.11,21,73.5,1.0,0,Dead
917,4864,12,A,Quercus rubra,0.063,Low,2017,Quercus rubra,1595,Non-Sterile,Conspecific,EMF,EMF,6/15/18,9.0,55.71,3.68,26.39,14.49,7,24.5,0.0,1,Dead
918,2593,7,A,Quercus alba,0.078,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,19.14,33.72,3.93,18.59,21.65,33,115.5,0.0,0,Alive
919,4869,12,A,Quercus alba,0.063,Low,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,25.0,16.67,4.47,21.55,17.54,7,24.5,0.0,1,Dead
920,2600,7,A,Quercus rubra,0.078,Med,2016,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.4,34.78,3.14,26.31,12.9,21,73.5,1.0,0,Dead
921,2605,7,C,Quercus alba,0.082,Med,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/23/18,15.42,30.73,4.83,23.87,15.99,17,59.5,1.0,0,Dead
922,2606,7,C,Quercus alba,0.082,Med,2017,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,27.5,20.17,4.84,17.84,21.92,33,115.5,0.0,0,Alive
923,2609,7,C,Quercus alba,0.082,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,27.5,20.17,4.84,17.84,21.92,17,59.5,1.0,0,Dead
924,4878,12,C,Acer saccharum,0.047,Low,2016,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/25/18,8.0,25.86,-0.55,11.62,13.3,7,24.5,0.0,1,Dead
925,4885,12,A,Quercus alba,0.063,Low,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,18.85,31.55,3.72,19.34,19.67,7,24.5,1.0,0,Dead
926,2614,7,A,Quercus rubra,0.078,Med,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,10.62,8.66,3.02,24.76,13.06,17,59.5,1.0,0,Dead
927,4918,12,A,Prunus serotina,0.063,Low,2017,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,12.27,18.869999999999997,0.32,5.28,8.42,7,24.5,1.0,0,Dead
928,2623,7,C,Quercus rubra,0.082,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.2,29.08,3.72,20.64,18.29,33,115.5,0.0,0,Alive
929,4923,12,A,Quercus rubra,0.063,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,5.0,0.0,3.61,28.46,14.13,7,24.5,0.0,1,Dead
930,4931,12,C,Quercus alba,0.047,Low,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,17.0,23.53,3.19,16.8,19.13,7,24.5,0.0,1,Dead
931,4932,12,C,Quercus alba,0.047,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,35.0,57.14,4.3,20.14,19.52,7,24.5,0.0,1,Dead
932,4952,12,A,Quercus alba,0.063,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,23.0,28.26,4.68,27.28,14.71,7,24.5,0.0,1,Dead
933,4956,12,A,Quercus rubra,0.063,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.0,16.67,3.3,22.96,16.03,7,24.5,0.0,1,Dead
934,4965,12,C,Quercus rubra,0.047,Low,2017,Sterile,1688,Sterile,Sterilized,EMF,Sterile,5/24/18,10.34,3.62,2.48,26.38,11.04,7,24.5,0.0,1,Dead
935,2641,7,C,Quercus alba,0.082,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,23.53,37.65,5.01,19.39,20.67,33,115.5,0.0,0,Alive
936,4969,12,B,Acer saccharum,0.06,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,17.77,30.735,-0.2,10.8,11.03,7,24.5,1.0,0,Dead
937,2647,7,A,Quercus alba,0.078,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,17.49,23.82,4.75,18.57,22.08,33,115.5,0.0,0,Alive
938,4979,12,E,Quercus alba,0.035,Low,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,20.0,35.71,4.67,19.3,20.57,7,24.5,0.0,1,Dead
939,4995,12,E,Quercus rubra,0.035,Low,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,10.0,13.79,3.81,24.31,15.7,7,24.5,0.0,1,Dead
940,4997,12,E,Prunus serotina,0.035,Low,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,32.87,10.52,0.25,5.74,8.67,7,24.5,1.0,0,Dead
941,2660,7,C,Quercus rubra,0.082,Med,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,4.09,7.25,3.3,24.98,14.45,17,59.5,1.0,0,Dead
942,4998,12,D,Quercus rubra,0.032,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,6.0,50.85,3.83,24.36,15.91,7,24.5,0.0,1,Dead
943,5005,12,B,Quercus rubra,0.06,Low,2016,Quercus alba,1478,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,13.0,55.56,3.34,27.56,13.62,7,24.5,0.0,1,Dead
944,2671,7,A,Quercus alba,0.078,Med,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/10/18,1.12,0.0,2.89,19.59,18.0,23,80.5,1.0,0,Dead
945,5006,12,B,Acer saccharum,0.06,Low,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.4,23.955,-0.04,10.96,10.99,7,24.5,1.0,0,Dead
946,2685,7,A,Quercus rubra,0.078,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,21.44,47.91,3.76,26.83,14.61,19,66.5,1.0,0,Dead
947,2689,7,A,Acer saccharum,0.078,Med,2017,Sterile,1323,Sterile,Sterilized,AMF,Sterile,5/17/18,7.0,35.205,-0.04,12.11,12.34,19,66.5,1.0,0,Dead
948,5012,12,B,Quercus rubra,0.06,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,26.0,22.5,3.93,27.18,15.16,7,24.5,0.0,1,Dead
949,2696,7,C,Quercus rubra,0.082,Med,2016,Quercus rubra,1688,Non-Sterile,Conspecific,EMF,EMF,5/25/18,14.95,30.19,3.6,25.81,14.58,23,80.5,1.0,0,Dead
950,5027,12,B,Quercus alba,0.06,Low,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,10.0,10.53,4.79,21.1,17.8,7,24.5,0.0,1,Dead
951,2699,7,C,Quercus rubra,0.082,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,20.73,12.61,2.58,24.61,11.98,33,115.5,0.0,0,Alive
952,2700,7,C,Quercus alba,0.082,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,16.39,15.84,4.82,17.99,21.76,33,115.5,0.0,0,Alive
953,5029,12,B,Quercus rubra,0.06,Low,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,11.0,20.41,3.51,25.54,15.3,7,24.5,0.0,1,Dead
954,5033,12,D,Quercus rubra,0.032,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,8.0,7.69,3.52,19.87,18.99,7,24.5,0.0,1,Dead
955,5047,12,B,Quercus alba,0.06,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,13.12,29.89,4.37,18.71,23.35,7,24.5,1.0,0,Dead
956,5058,12,D,Quercus alba,0.032,Low,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,0.0,0.0,1.62,19.3,18.02,7,24.5,0.0,1,Dead
957,2713,7,C,Quercus alba,0.082,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,23.53,37.65,5.01,19.39,20.67,20,70.0,1.0,0,Dead
958,5066,12,B,Acer saccharum,0.06,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.4,33.2375,-0.04,10.96,10.99,7,24.5,1.0,0,Dead
959,5082,12,B,Acer saccharum,0.06,Low,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,16.9,28.825,-0.07,11.0,11.67,7,24.5,1.0,0,Dead
960,5091,12,D,Acer saccharum,0.032,Low,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/25/18,0.0,24.4125,-0.67,8.88,10.0,7,24.5,0.0,1,Dead
961,5093,12,D,Quercus rubra,0.032,Low,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,12.0,20.0,3.52,20.1,18.48,7,24.5,0.0,1,Dead
962,5102,12,B,Quercus rubra,0.06,Low,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,34.0,10.17,2.52,29.01,9.38,7,24.5,0.0,1,Dead
963,5113,12,B,Prunus serotina,0.06,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,80.0,21.366666666666667,0.37,5.62,8.87,7,24.5,0.0,1,Dead
964,5114,12,B,Acer saccharum,0.06,Low,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,5/25/18,4.0,32.56333333333333,-0.28,9.01,6.83,7,24.5,0.0,1,Dead
965,2727,7,A,Quercus alba,0.078,Med,2016,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,24.39,43.76,4.9,20.21,20.12,33,115.5,0.0,0,Alive
966,5117,12,B,Quercus rubra,0.06,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,14.0,48.33,2.63,28.37,10.78,7,24.5,0.0,1,Dead
967,5123,12,D,Prunus serotina,0.032,Low,2017,Sterile,H,Sterile,Sterilized,AMF,Sterile,6/5/18,10.98,36.004999999999995,0.0,5.0,8.22,7,24.5,1.0,0,Dead
968,5124,12,D,Quercus alba,0.032,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,12.0,23.68,3.8,17.82,21.07,7,24.5,0.0,1,Dead
969,5125,12,D,Quercus rubra,0.032,Low,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,0.0,5.36,3.83,23.12,16.64,7,24.5,0.0,1,Dead
970,5134,12,B,Acer saccharum,0.06,Low,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,5/25/18,2.0,15.336666666666666,-0.45,8.04,10.02,7,24.5,0.0,1,Dead
971,2738,7,A,Acer saccharum,0.078,Med,2017,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/17/18,7.0,25.313333333333333,-0.04,12.11,12.34,19,66.5,1.0,0,Dead
972,5139,12,B,Quercus alba,0.06,Low,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,6.56,35.29,4.88,23.46,16.33,7,24.5,0.0,1,Dead
973,5147,12,D,Quercus alba,0.032,Low,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,19.0,13.51,4.5,18.1,21.49,7,24.5,0.0,1,Dead
974,5159,12,D,Quercus alba,0.032,Low,2017,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/22/18,25.53,34.15,4.28,23.46,16.31,7,24.5,0.0,1,Dead
975,5165,12,D,Acer saccharum,0.032,Low,2016,Sterile,1330,Sterile,Sterilized,AMF,Sterile,5/25/18,0.0,33.935,-0.67,7.98,10.06,7,24.5,0.0,1,Dead
976,2746,7,A,Quercus alba,0.078,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,19.14,33.72,3.93,18.59,21.65,33,115.5,0.0,0,Alive
977,5170,12,B,Acer saccharum,0.06,Low,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,5/25/18,5.7,16.86,-0.27,9.0,9.03,7,24.5,1.0,0,Dead
978,5172,12,B,Quercus alba,0.06,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,0.0,0.0,3.97,20.4,18.75,7,24.5,0.0,1,Dead
979,5180,12,D,Acer saccharum,0.032,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,6.0,15.365,-1.12,11.31,11.47,7,24.5,0.0,1,Dead
980,2751,7,C,Quercus alba,0.082,Med,2017,Quercus alba,1715,Non-Sterile,Conspecific,EMF,EMF,5/23/18,15.42,30.73,4.83,23.87,15.99,17,59.5,1.0,0,Dead
981,2753,7,C,Acer saccharum,0.082,Med,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,5/17/18,10.58,25.950000000000003,-0.03,12.92,12.57,19,66.5,1.0,0,Dead
982,2754,7,C,Quercus alba,0.082,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,15.9,21.17,3.93,18.27,20.93,19,66.5,1.0,0,Dead
983,5221,13,A,Acer saccharum,0.052,Low,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,18.39,27.975,0.0,10.64,11.22,7,24.5,0.0,1,Dead
984,5276,13,A,Quercus alba,0.052,Low,2017,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/22/18,27.0,34.78,4.63,24.42,15.67,7,24.5,0.0,1,Dead
985,5281,13,A,Quercus alba,0.052,Low,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,37.0,17.65,4.63,20.82,17.68,7,24.5,0.0,1,Dead
986,5285,13,C,Prunus serotina,0.087,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,6/5/18,8.73,18.506666666666664,0.06,7.69,11.93,7,24.5,1.0,0,Dead
987,5290,13,C,Prunus serotina,0.087,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,28.46,19.363333333333333,0.65,10.38,13.66,7,24.5,1.0,0,Dead
988,2771,7,C,Quercus alba,0.082,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,16.76,20.22,4.48,17.56,23.24,17,59.5,1.0,0,Dead
